,summary_polarity,title_polarity,polarity,ma_title_polarity,ma_summary_polarity,ma_polarity,Close,nextDayReturn,nextNdaysReturn,nextNdaysStd
2000-01-03,,,,,,,85.328232,-0.014708683991014881,-2.2560215123172833,0.146113680596114
2000-01-04,,,,,,,84.073166,-0.02558641600341316,-2.2815404620304176,0.14611313274175267
2000-01-05,,,,,,,81.922035,0.0021910710592087934,-2.282777533541495,0.1461124335098797
2000-01-06,,,,,,,82.10153199999999,-0.006550377159831755,-2.279973021697086,0.14611409738855774
2000-01-07,,,,,,,81.56373599999999,0.004392871361361017,-2.2907325628144353,0.14611879989479065
2000-01-10,,,,,,,81.922035,-0.032822988344955006,-2.3012984723829186,0.14612123100093982
2000-01-11,,,,,,,79.233109,-0.004521897531497787,-2.37179257979136,0.14612136419262586
2000-01-12,,,,,,,78.874825,-0.022730281810450892,-2.361195146867204,0.14613567081011303
2000-01-13,,,,,,,77.081978,-0.013953378311075681,-2.4273045120871184,0.14613557615741032
2000-01-14,,,,,,,76.006424,-0.007075665077993731,-2.4450030434269605,0.14613557966030277
2000-01-17,,,,,,,75.46862800000001,-0.018999431127858957,-2.445252668433299,0.1461369136229718
2000-01-18,,,,,,,74.034767,-0.002424279933237461,-2.483485643981293,0.14613675395191456
2000-01-19,,,,,,,73.85528599999999,-0.01698460689733161,-2.4819572697883805,0.14613612550571875
2000-01-20,,,,,,,72.600883,0.002463027894578085,-2.507562628404947,0.14614645347291255
2000-01-21,,,,,,,72.779701,-0.009846028358924008,-2.5325253397235032,0.1461497332314982
2000-01-24,,,,,,,72.06311,-0.022387904157897043,-2.5582970399140423,0.14615304068836485
2000-01-25,,,,,,,70.449768,0.005085666144422296,-2.615519926197628,0.14616811796139562
2000-01-26,,,,,,,70.808052,0.02025029582793758,-2.6475291962558156,0.14615543774019116
2000-01-27,,,,,,,72.241936,-0.012403986515532872,-2.6069514942124474,0.1461554415346033
2000-01-28,,,,,,,71.345848,0.0226132009812261,-2.624482338481701,0.14614295825168083
2000-01-31,,,,,,,72.95920600000001,-0.01720229795263961,-2.557360520069256,0.14614211085067397
2000-02-01,,,,,,,71.70414,-0.007499887733120936,-2.5846196188950876,0.14614213421674904
2000-02-02,,,,,,,71.16636700000001,-0.027704800499370852,-2.583260053165282,0.1461348860864193
